Company Name,Shorthand Company Name,Sector,Industry,Size (2019 Revenue),Net Earnings/Income (2019),IPO Year,S&P 100? (Y/N),Carbon Neutral Goal? (Y/N),Science-Based Target? (Y/N),Carbon Neutral by.... (year),Carbon Neutral Announcement (year),Carbon Goal (if non-zero),Reliance on Offsets? (Y/N),RE100 Commitment? (Y/N),100% Renewable Energy by... (year),2019 Scope 1 (MeT Co2),2019 Scope 2 ,2019 Offsets Purchased,2019 Net Scope 1 + 2 Emissions,2019 Scope 3 ,"2019 Total Scope 1, 2 + 3",2018 Scope 1,2018 Scope 2,2018 Offsets Purchased,2018 Net Scope 1 + 2 Emissions,2018 Scope 3,"2018 Total Scope 1, 2 + Scope 3",2017 Scope 1,2017 Scope 2,2017 Offsets Purchased,2017 Net Scope 1 + 2 Emissions,2017 Scope 3,"2017 Total Scope 1, 2 + 3",2016 Scope 1,2016 Scope 2,2016 Offsets Purchased,2016 Net Scope 1 + 2 Emissions,2016 Scope 3,"2016 Total Scope 1, 2 + 3",2015 Scope 1,2015 Scope 2,2015 Offsets Purchased,2015 Net Scope 1 + 2 Emissions,2015 Scope 3,"2015 Total Scope 1, 2 + 3",Policy Arm?,Initiatives for Carbon Neutrality,Notes,Sources
QUALCOMM Inc.,QUALCOMM,Technology,Electronics,$24 270 000 000 ,$4 390 000 000 ,1991,Y,N,N,,,"30% reduction in Scope 1 + 2 from 2014 to 2025

2014 Scope 1 + 2: 230637",Y,N,,  75 290 ,  114 060 ,,  189 350 ,  112 252 ,  301 602 ,  73 832 ,  120 771 ,,  194 603 ,  112 252 ,  306 855 ,  80 179 ,  128 298 ,,  208 477 ,  112 252 ,  320 729 ,  75 205 ,  147 681 ,,  222 886 ,  112 252 ,  335 138 ,  75 349 ,  155 288 ,,  230 637 ,  38 845 ,  269 482 ,,"- To date, we've reduced our GHG emissions by 17.9 percent, of which 5.8 percent is attributed to the purchase of renewable energy certificates (AP81RECs) and carbon offsets (do offsets and RECs through Natural Capital Partners)
- Own and operate several on-site solar generating systems in San Diego and Bangalore
- Promote the use of electric vehicles (EVs) by installing dozens of new EV charging stations at our campuses in San
Diego and Santa Clara, and give employees discounted electric rates at our owned Level 2 EV charging stations and free charging at Level 1 outlets in our garages
- Combined heat and power plants enable us to self-generate electricity to meet our site needs, while efficiently utilizing the waste heat to provide cooling to our headquarters’ buildings
-Scope 3: employee business air travel, business car rental and employee commuting)",,"- https://www.qualcomm.com/media/documents/files/2019-qualcomm-sustainability-report.pdf
- https://www.qualcomm.com/media/documents/files/2017-qualcomm-sustainability-report.pdf
- https://www.cdp.net/en/formatted_responses/responses?campaign_id=66216852&discloser_id=832614&locale=en&organization_name=QUALCOMM+Inc.&organization_number=15419&program=Investor&project_year=2019&redirect=https%3A%2F%2Fcdp.credit360.com%2Fsurveys%2F9hz110bc%2F49086&survey_id=65670419"
Raytheon Technologies,Raytheon,Industrials,Aerospace ,$29 176 000 000 ,$3 343 000 000 ,1952,Y,N,N,,,None beyond 2020 goal of reducing Scope 1 + 2 emissions by 12% from 2015 baseline,,N,,  612 307 ,  1 114 227 ,,  1 726 534 ,  11 061 240 ,  12 787 774 , NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  ,,"- Upgraded/optimized HVAC systems, installed energy-effi cient measures in our data centers and server rooms, and installed LED lighting while making other changes to building infrastructure and equipment
- We also monitor and track developments in alternative energy technologies, low-carbon energy solutions and other techniques for reducing greenhouse gas emissions","Poor reporting, no carbon emissions reduction goals, and minimal initiatives beyond some basic energy efficiency projects","- https://investors.rtx.com/static-files/f8a4c491-7745-4e82-be4e-807d6b0e995f
- https://www.raytheon.com/sites/default/files/2019-05/raytheon-crr-2018.pdf
- https://sdd-pdf.s3.amazonaws.com/report-pdfs/2017/60b417e473a9ae1f103146ff1b3954a9.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA&Expires=1594924661&Signature=SguKZk1%2FdQ3x1HRRJy0UTofONhs%3D"
Salesforce,Salesforce,Technology,Software,$13 280 000 000,$1 110 000 000,2004,Y,Y,Y,2017,,"Reduce absolute Scope 1 and Scope 2 emissions by 50% from 2018 to 2030, and reduce Scope 3 emissions from fuel and energy related activities by 50% from 2018 to 2030",Y,Y,2022,  5 000 ,  291 000 ,  296 000 ,  -   ,  181 000 ,  181 000 ,  4 000 ,  236 000 ,  240 000 ,  -   ,  134 000 ,  134 000 ,  4 000 ,  174 000 ,  40 940 ,  137 060 ,  99 000 ,  236 060 ,  3 000 ,  132 000 ,  31 050 ,  103 950 ,  84 000 ,  187 950 ,  5 000 ,  71 000 ,,  76 000 ,  56 000 ,  132 000 ,,"- Avoid emissions by siting facilities on clean energy grids.
- Reduce ongoing projects throughout our operations with investments in green office spaces and improvements to data center efficiency.
- Mitigate and offset electricity consumption for years to come by signing virtual power purchase agreements.
- Commits that suppliers representing 60% of its scope 3 emissions, covering all upstream emission categories, will set science-based targets by 2024","Net zero as of FY18 through carbon offsets (including Scope 3)

Scope 3 only includes business travel and employee commuting","- https://www.salesforce.com/content/dam/web/en_us/www/documents/white-papers/sustainability-FY20-stakeholder-impact-report.pdf
- https://www.salesforce.com/content/dam/web/en_us/www/documents/reports/sustainability-FY19-stakeholder-impact-report.pdf
- https://www.salesforce.com/content/dam/web/en_us/www/documents/reports/sustainability-FY18-stakeholder-impact-report.pdf
- https://www.salesforce.com/content/dam/web/en_us/www/documents/datasheets/sfdc-fy17-stakeholder-impact.pdf"
Schlumberger Ltd.,Schlumberger,Energy,Oil and Gas,$32 900 000 000 ,($10 137 000 000),1956,Y,N,Y,,,,,N,, NR , NR ,,  , NR ,  ,  1 423 000 ,  642 000 ,,  2 065 000 ,  1 185 000 ,  3 250 000 ,  1 358 000 ,  561 000 ,,  1 919 000 ,  911 000 ,  2 830 000 ,  1 136 000 ,  704 000 ,,  1 840 000 ,  876 000 ,  2 716 000 ,  1 400 000 ,  577 000 ,,  1 977 000 ,  1 057 000 ,  3 034 000 ,N,- Sells CCUS services to clients,,"- https://investorcenter.slb.com/news-releases/news-release-details/schlumberger-announces-full-year-and-fourth-quarter-2019-results#:~:text=Schlumberger%20CEO%20Olivier%20Le%20Peuch,achievement%20under%20these%20market%20conditions.
- https://www.slb.com/globalstewardship/pdf/Schlumberger_GlobalStewardship_2018.pdf
- https://www.slb.com/globalstewardship/pdf/Schlumberger_GlobalStewardship_2016.pdf
- https://www.slb.com/newsroom/press-release/2019/pr-2019-1219-slb-gs-sbti"
Simon Property Group Inc.,Simon Property Group,Real Estate,Real Estate,$5 755 000 000 ,$2 098 000 000 ,1993,Y,N,N,,,None stated,,N,,  16 863 ,  249 715 ,,  266 578 ,  579 588 ,  846 166 ,  21 923 ,  287 974 ,,  309 897 ,  591 378 ,  901 275 ,  19 404 ,  293 618 ,,  313 022 ,  580 998 ,  894 020 ,  20 364 ,  304 405 ,,  324 769 ,  604 001 ,  928 770 ,  23 000 ,  358 862 ,,  381 862 ,  618 912 ,  1 000 774 ,,"-  Proprietary sustainability benchmarking tool for enclosed centers that allow us to better compare properties to improve the shopping center’s overall energy use
- Upgraded conventional lighting such as fluorescent and metal halide to energy-efficient LED lighting at over 200 properties over the last few years
- Investing in intelligent energy pilots of sensor-enabled LEDs in partnership with industry-leading companies such as GE and Acuity. Simon will further explore opportunities to install smart networks and sensors to optimize LED lighting both indoors and out
- Continuously assesses our portfolio to upgrade to more efficient equipment, such as Central Plant, Energy Management Systems, and HVAC replacements. Energy audits and retrocommissioning are the foundation of our energy efficiency programs
- Installing 3MW solar photovoltaic arrays at three regional malls and three Premium Outlets; completed roof-top solar and battery storage installations
- Expanding electric vehicle charging stations",,"- https://simon-malls.cld.bz/Simon-Sustainability-Report-2019
- https://simon-malls.cld.bz/Simon-Sustainability-Report-2018
- https://simon-malls.cld.bz/Simon-Sustainability-Report-2016
- https://investors.simon.com/news-releases/news-release-details/simon-launches-bold-new-vision-sustainability"
Southern Company,Southern Company,Utilities,Utilities,$21 419 000 000 ,$3 250 000 000 ,1949,Y,N,N,2050,2020,"50% emissions reduction from 2007 to 2030 (intermediary goal on path to net zero in 2050)

2007 Scopes 1 + 2: 156650362.8",,N,,  88 213 565 ,  35 568 ,,  88 249 133 ,  38 773 448 ,  127 022 581 ,  102 232 275 ,  2 142 130 ,,  104 374 405 ,  37 299 499 ,  141 673 904 ,  97 534 302 ,  2 701 183 ,,  100 235 485 ,  34 630 131 ,  134 865 616 , N , N , N ,  , N ,  , N , N , N ,  , N ,  ,Y,"- Growing our investment in renewable energy, modernizing the grid to optimize technology advancements, increasing the use of natural gas, building new nuclear generating units, continuing our industry-leading, robust research and development (R&D) efforts, and investing in energy efficiency for savings on both sides of the meter
- Invests in the research, development and deployment of new technologies, such as carbon capture, utilization and storage
- Policy engagement but focus on environmental policy unclear",,"- https://s2.q4cdn.com/471677839/files/doc_financials/2019/annual/SO_2019_AR_Final.pdf
- https://www.southerncompany.com/content/dam/southern-company/pdf/corpresponsibility/The-Southern-Company-2018-CDP-Climate-Change-response.pdf
- https://www.southerncompany.com/content/dam/southern-company/pdf/corpresponsibility/CDP-Climate-Disclosure-2019.pdf
- https://www.southerncompany.com/corporate-responsibility/environment/air-and-climate.html
- https://www.southerncompany.com/content/dam/southern-company/pdf/corpresponsibility/2017_Corporate_Responsibility_Report.pdf
- https://www.southerncompany.com/content/dam/southern-company/pdf/reports/CarbonDisclosureReport2016.pdf
- https://www.cdp.net/en/formatted_responses/responses?campaign_id=66216852&discloser_id=831071&locale=en&organization_name=The+Southern+Company&organization_number=18951&program=Investor&project_year=2019&redirect=https%3A%2F%2Fcdp.credit360.com%2Fsurveys%2F9hz110bc%2F54074&survey_id=65670419
- https://www.southerncompany.com/content/dam/southern-company/pdf/corpresponsibility/CDP-Climate-Disclosure-2020.pdf"
Starbucks Corp.,Starbucks,Consumer Discretionary,Food & Beverage,$26 510 000 000,$3 600 000 000,1992,Y,Y,Y,2050,2020,"50% reduction in Scope 1, 2 + 3 from 2020 to 2030",,Y,No target date,  381 199 ,  281 701 ,,  662 900 ,  14 963 993 ,  15 626 893 ,  319 600 ,  285 600 ,,  605 200 ,  14 990 000 ,  15 595 200 ,  291 000 ,  390 000 ,,  681 000 ,  15 900 000 ,  16 581 000 ,  321 763 ,  253 819 ,,  575 582 ,  15 187 612 ,  15 763 194 ,  329 002 ,  513 511 ,,  842 513 ,  10 670 765 ,  11 513 278 ,,"- At the farm level, we have worked with Conservation International to include climate-smart agricultural practices as part of Coffee and Farmer Equity (C.A.F.E.) practices, our ethical Coffee buying guidelines
- Through the purchase of Renewable Energy Credits (RECs) we are able to offset 62% of our store emissions globally
- Expanding plant-based and environmentally friendly menu options (shifting consumers away from dairy to alternative milks)
- Shifting from single-use to reusable packaging
- Investing in innovative agricultural, water conservation and reforestation practices
- Looking for ways to better manage waste (including food waste) in stores and in communities
- Developing more eco-friendly operations, from stores to supply chain to manufacturing",,"- https://www.starbucks.com/responsibility/environment/climate-change
- https://stories.starbucks.com/uploads/2020/01/Starbucks-Environmental-Baseline-Report.pdf
- https://stories.starbucks.com/stories/2020/5-things-to-know-about-starbucks-new-environmental-sustainability-commitment/
- https://fortune.com/2020/01/21/starbucks-carbon-footprint-dairy/"
Target Corp.,Target,Consumer Staples,Retail,$78 100 000 000,$3 269 000 000,1967,Y,N,Y,,,"30% reduction in Scope 1, 2 + 3 emissions from 2017 to 2030",,Y,"2030

60% by 2025",  752 552 ,  1 545 898 ,,  2 298 450 ,  52 049 000 ,  54 347 450 ,  755 484 ,  2 108 893 ,,  2 864 377 ,  78 400 000 ,  81 264 377 ,  706 176 ,  2 111 537 ,,  2 817 713 ,  78 400 000 ,  81 217 713 ,  730 846 ,  2 155 763 ,,  2 886 609 , NR ,  ,  581 568 ,  2 290 938 ,,  2 872 506 , NR ,  ,,"- Committing 80 percent of our suppliers by spend to set science-based reduction targets on their Scope 1 and 2 emissions by 2023
- Partnership with the Apparel Impact Institute’s Clean by Design program, which is reducing the environmental impact of textile mills
- Plan to leverage the Vietnam Improvement Program in partnership with the International Finance Corporation as it increases factories’ energy and water efficiency
- Launching an electric vehicle programs
- Converting to LED lights
- Adopting renewable energy onsite and through PPAs",,"- https://corporate.target.com/annual-reports/2019
- https://corporate.target.com/_media/TargetCorp/csr/pdf/2019_corporate_responsibility_report.pdf
- https://corporate.target.com/_media/targetcorp/csr/pdf/2016-corporate-social-responsibility-report.pdf
- https://corporate.target.com/_media/TargetCorp/csr/pdf/2018_corporate_responsibility_report.pdf
- https://corporate.target.com/_media/TargetCorp/csr/pdf/2015-Corporate-Social-Responsibility-Report.pdf"
Texas Instruments,Texas Instruments,Technology,Electronics,$14 318 000 000 ,$5 020 000 000 ,1953,Y,N,N,,,None beyond 15% Scope 1 + 2 reduction from 2015 to 2020,Y,N,,  966 579 ,  13 430 ,,  980 009 , NR ,  ,  1 157 549 ,  1 110 819 ,,  2 268 368 , NR ,  ,  1 161 654 ,  1 256 755 ,,  2 418 409 , NR ,  ,  1 076 947 ,  1 319 215 ,,  2 396 162 , NR ,  ,  1 085 622 ,  1 322 813 ,,  2 408 435 , NR ,  ,Y,"- Reducing energy use through improved building energy efficiency
- Reducing PFCs by using alternative gases and reusing chemicals
- Encouraging employees to use alternative forms of transportation to commute to work
- - but to PACs that support their ""competitiveness,"" not environmental causes",,"- https://www.ti.com/lit/ml/sszo049/sszo049.pdf?ts=1594900881760&ref_url=https%253A%252F%252Fwww.google.com%252F
- https://www.ti.com/lit/ml/sszo011/sszo011.pdf?ts=1594900884309&ref_url=https%253A%252F%252Fwww.google.com%252F"
The Bank of New York Mellon,Bank of New York Mellon,Financial Services,Asset Management,$20 820 000 000 ,$4 250 000 000 ,1784,Y,Y,N,2015,2008, N ,Y,N,N,  8 102 ,  3 397 ,  31 457 ,  (19 958),  14 605 ,  (5 353),  8 000 ,  2 500 ,  32 000 ,  (21 500),  17 200 ,  (4 300),  8 265 ,  2 248 ,  38 000 ,  (27 487),  17 944 ,  (9 543),  9 000 ,  3 350 ,  32 000 ,  (19 650),  19 700 ,  50 ,,,,  -   ,,  -   ,,"-Reduce GHG emissions by 20% by 2025 from a 2018 base year
- maintain carbon neutrality commitment through 2025
-Offsets purchased for Scope 3 emissions
-Purchase of Renewable energy certifcates to offset non-renewable energy use",,
The Walt Disney Company,Disney,Communication Services,Entertainment,$69 570 000 000 ,$11 050 000 000 ,1957,Y,N,N,,,"By 2020, reduce net emissions by 50% compared to a 2012 baseline

2012 Scope 1 + 2: 1742927",,N,,  855 073 ,  931 544 ,,  1 786 617 , NR ,  ,  897 523 ,  975 778 ,,  1 873 301 , NR ,  ,  843 275 ,  1 002 150 ,,  1 845 425 , NR ,  ,  865 577 ,  909 738 ,,  1 775 315 , NR ,  ,  851 038 ,  917 030 ,,  1 768 068 , NR ,  ,,"- In 2019, we brought online a new 270-acre, 50 megawatt solar facility at Walt Disney World, built in collaboration with the Reedy Creek Improvement District and Origis Energy USA. This facility is anticipated to generate enough power from the sun to operate two of our four theme parks in Orlando annually
- Operate our bus fleet at Walt Disney World using 50% renewable diesel fuel, while our film and TV productions are piloting electric generators on set
- Commuter assistance program for employees
- The Grand Central Creative Campus expansion in Glendale, CA received a Leadership in Energy and Environmental Design (LEED) Platinum certification. The 460-kilowatt solar photovoltaic installation on the parking garage provides 12% of the energy use for the new building",,"- https://thewaltdisneycompany.com/environmental-sustainability/
- https://www.cdp.net/en/responses?page=2&per_page=5&queries%5Bname%5D=disney&sort_by=project_year&sort_dir=desc&utf8=%E2%9C%93
- https://www.cdp.net/en/formatted_responses/responses?campaign_id=66216852&discloser_id=827642&locale=en&organization_name=Walt+Disney+Company&organization_number=20384&program=Investor&project_year=2019&redirect=https%3A%2F%2Fcdp.credit360.com%2Fsurveys%2F9hz110bc%2F55701&survey_id=65670419"
Thermo Fisher Scientific,Thermo Fisher,Healthcare,Diagnostics,$25 540 000 000 ,$3 696 000 000 ,1965,Y,N,N,,,,,N,, NR , NR ,,  , NR ,  ,  147 522 ,  690 767 ,,  838 289 , NR ,  ,  70 255 ,  408 244 ,,  478 499 ,  206 994 ,  685 493 ,  83 529 ,  305 579 ,,  389 108 ,,  389 108 ,  92 458 ,  301 234 ,,  393 692 ,,  393 692 ,,"- Some investments in renewable energy projects like solar
- Some investments to make products that can be reused to reduce single use plastics",,"- https://www.thermofisher.com/content/dam/LifeTech/global/CSR/2018%20CSR%20Report.pdf
- https://www.thermofisher.com/us/en/home/about-us/corporate-social-responsibility/environment/performance.html
- https://www.thermofisher.com/content/dam/LifeTech/Documents/PDFs/2018_Thermo_Fisher_Scientific_CDP_Report_2017reportingperiod.pdf"
Union Pacific Corp,Union Pacific,Industrials,Logistics,$21 700 000 000 ,$5 900 000 000 ,,Y,N,Y,,,,,N,,  9 688 964 ,  726 505 ,,  10 415 469 ,  15 495 ,  10 430 964 ,  10 874 731 ,  885 635 ,,  11 760 366 ,  17 138 ,  11 777 504 ,  10 216 978 ,  773 007 ,,  10 989 985 ,  18 466 ,  11 008 451 ,  9 913 870 ,  771 380 ,,  10 685 250 ,  18 603 ,  10 703 853 ,  10 834 984 ,  848 565 ,,  11 683 549 ,  19 803 ,  11 703 352 ,N - partnered with environmnetal NGOs who lobby but not actively engaged in policy work,"- Committed to investing in technology that helps us identify fuel saving opportunities and increase locomotive productivity. For example, new software helps us predict potential locomotive failures
- Building longer trains, meaning fewer locomotives haul the same amount of freight, thus reducing emissions
- Purchased nearly 14,000 square yards of carbon neutral flooring, resulting in the retirement of 120 metric tons of carbon dioxide
- Scope 3 business travel",,"- https://www.up.com/cs/groups/public/@uprr/@corprel/documents/up_pdf_nativedocs/pdf_up_2019_building_america_r.pdf
- https://www.up.com/cs/groups/public/@uprr/documents/up_pdf_nativedocs/pdf_up_build_america_rep_2017.pdf"
United Health Group,United Health Group,Healthcare,Healthcare Plans,$242 200 000 000 ,$14 240 000 000 ,1984,Y,N,N,,,"From 2017 baseline, 3% Scope 1 + 2 reduction by 2023",,N,,  17 709 ,  149 418 ,,  167 127 ,  429 811 ,  596 938 ,  13 924 ,  158 042 ,,  171 966 ,  301 410 ,  473 376 ,  16 570 ,  156 719 ,,  173 289 ,  127 671 ,  300 960 ,  15 838 ,  161 303 ,,  177 141 ,  146 373 ,  323 514 ,  16 567 ,  180 096 ,,  196 663 ,  173 042 ,  369 705 ,,"- Goal is to decrease our environmental impact through energy conservation and renewable energy; incorporate energy efficiency and high-performance design during construction practices; and invest annually in energy efficiency projects to reduce carbon emissions
- Completed 20 funded sustainability projects including interior and exterior lighting upgrades and water reduction projects
- Maintained business operations in LEED-certified facilities (Leadership in Energy & Environmental Design) totaling 2.1 million square feet
",,"- https://www.unitedhealthgroup.com/viewer.html?file=%2Fcontent%2Fdam%2FUHG%2FPDF%2FAbout%2FUNH-Environmental-Impact-Statement.pdf
- https://www.unitedhealthgroup.com/what-we-do/performance-tables.html"
United Parcel Service,UPS,Industrials,Logistics,$74 094 000 000 ,$4 400 000 000 ,1999,Y,N,N,,,"From 2015 baseline, 12% reduction in Scope 1 + 2 by 2025",Y,N,,  14 223 000 ,  731 000 ,,  14 954 000 ,  21 008 000 ,  35 962 000 ,  13 851 000 ,  784 000 ,  103 500 ,  14 531 500 ,  21 783 000 ,  36 314 500 ,  13 047 000 ,  745 000 ,  84 200 ,  13 707 800 ,  20 071 000 ,  33 778 800 ,  12 432 000 ,  831 000 ,  101 700 ,  13 161 300 ,  17 430 000 ,  30 591 300 ,  12 197 000 ,  814 000 ,  48 100 ,  12 962 900 ,  16 877 000 ,  29 839 900 ,"Y - participate in public policy forums, where we advocate for prudent innovation and investment
in new technologies and infrastructure development","- Utilizing operational improvements through technology to create overall network and delivery efficiencies beyond reducing miles/fuel, (e.g., higher trailer utilization, decreased sortation time, increased safety, reduced errors/duplication of work, higher asset utilization/less waste, etc.) that reduce GHG footprint;
- Expanding our fleet of alternative fuel and advanced technology vehicles, known as our rolling laboratory, in order to reduce the proportion of conventional fuels we use;
- Reducing conventional energy use and increasing the use of renewable energy in our facilities and alternative fuel in our fleet;
- Providing customers with services that help them reduce their environmental impact; and
- Helping increase supplier awareness about GHG emissions and how to reduce them",,"- https://sustainability.ups.com/media/2018-gri-index.pdf
- https://sustainability.ups.com/media/GRI-Index-2017.pdf"
US Bancorp,US Bancorp,Financial Services,Banks,$25 775 000 000 ,$6 914 000 000 ,1968?,N,N,N,,,"From 2014 baseline, 40% reduction by 2029 and 60% reduction by 2044

2014 Scope 1 + 2: 415211",,N,,  56 482 ,  176 447 ,,  232 929 ,  170 573 ,  403 502 ,  63 333 ,  233 322 ,  85 864 ,  210 791 ,,  210 791 ,  55 029 ,  239 367 ,,  294 396 ,,  294 396 ,  53 544 ,  325 439 ,,  378 983 ,  86 665 ,  465 648 ,,,,  -   ,,  -   ,,"- In 2019 alone, U.S. Bank committed more than $1.2 billion to finance over 2.2 gigawatts of renewable energy projects throughout the U.S.
- To date, we have 26 LEED certified branches and are continuing to follow sustainable principles in the design of our new facilities with plans to maintain this focus in the future
- Partnerships with CERES, GRID Alternatives, and Earthwatch Ignite Program -- environmental NGOs -- to better understand environmental issues and identify solutions
- We will continue to evaluate opportunities to invest in products and practices that reduce our dependence on energy in areas such as facilities, equipment, operations and business travel",,"- https://www.usbank.com/about-us-bank/community/sustainability.html
- https://www.usbank.com/about-us-bank/community/sustainability/environment-initiatives.html
- https://www.usbank.com/dam/documents/pdf/about-us-bank/community/sustainability/USBank-2019-CDP.pdf
- https://www.usbank.com/dam/documents/pdf/about-us-bank/community/sustainability/USBank-2017-CDP-Report_v2.pdf
- https://www.usbank.com/dam/documents/pdf/about-us-bank/community/sustainability/Environmental-Responsibility-Policy-2019.pdf
- https://www.cdp.net/en/formatted_responses/responses?campaign_id=66216852&discloser_id=824883&locale=en&organization_name=U.S.+Bancorp&organization_number=19593&program=Investor&project_year=2019&redirect=https%3A%2F%2Fcdp.credit360.com%2Fsurveys%2F9hz110bc%2F54190&survey_id=65670419"
Verizon Communications,Verizon,Communication Services,Telecom Services,$131 860 000 000,$19 790 000 000,2000,Y,Y,N,2035,2019,,Y,N,50% by 2025,  358 753 ,  3 982 613 ,,  4 341 366 ,  17 061 647 ,  21 403 013 ,  385 241 ,  4 033 579 ,,  4 418 820 , NR ,  ,  376 735 ,  4 522 261 ,,  4 898 996 ,  69 271 ,  4 968 267 ,  372 496 ,  5 529 727 ,,  5 902 223 ,  91 365 ,  5 993 588 ,  445 704 ,  5 529 153 ,,  5 974 857 ,  43 333 ,  6 018 190 ,,"- A 28% Carbon Intensity reduction since 2016 with the goal set for a 50% carbon intensity reduction by 2025
- A green energy initiative which has offset 20,000 metric tons of CO2
- A 2025 commitment to source renewable energy equivalent to 50% of Verizon's total electricity usage
- Carbon abatement will enable customers to also reduce their carbon footprint
- 278 ENERGY STAR-certified buildings and 22 onsite renewable energy installations
- 28,000 Green Team employees in 44 countries
- Two million trees planted by 2030 with more than 700,000 planted already",Scope 1 and 2 emissions,"- https://www.verizon.com/about/news/verizon-goes-carbon-neutral-2035
- https://www.verizon.com/about/sites/default/files/corporate-responsibility-report/2018/environment/emissions.html
- https://www.verizon.com/about/sites/default/files/esg-report/2019/environmental/our-emissions-by-scope.html"
Visa Inc.,Visa,Financial Services,Credit Services,$23 000 000 000,$12 100 000 000,2008,Y,N,N,,,,,Y,2019,  8 642 ,  51 366 ,,  60 008 ,  523 963 ,  583 971 ,  8 622 ,  54 604 ,,  63 226 ,  232 156 ,  295 382 ,  9 143 ,  56 628 ,,  65 771 ,  55 182 ,  120 953 ,  9 005 ,  68 968 ,,  77 973 ,  49 736 ,  127 709 ,  17 837 ,  55 177 ,,  73 014 ,  33 149 ,  106 163 ,N,"- Green building design (64% LEED certified)
- Energy efficiency (lighting upgrades and motion sensors)
- Efficient electronics policy that mandates at least 90 percent of new electronics in our largest corporate campus offices meet either ENERGY STAR or EPACT certification standards
- Progress towards our commitment to purchase 100 percent renewable electricity
- Use mechanical cooling
- Reduce refrigerant use
- Decomission underutilized servers
- Commuter benefits and other incentives to encourage sustainable employee behavior",Included purchased goods and services and employee commuting for first time in 2018 Scope 3 reporting,"- https://s1.q4cdn.com/050606653/files/doc_financials/2019/q4/Visa-Inc.-Q4-2019-Financial-Results.pdf
- https://usa.visa.com/dam/VCOM/download/corporate-responsibility/visa-2018-corporate-responsibility-report.pdf
- https://usa.visa.com/dam/VCOM/download/corporate-responsibility/visa-2017-corporate-responsibility-report.pdf"
Walgreens Boots Alliance,Walgreens,Healthcare,Retail,$136 900 000 000 ,$3 900 000 000 ,1927,Y,N,N,,,,,N,,  389 000 ,  1 645 000 ,,  2 034 000 ,  107 000 ,  2 141 000 ,  370 000 ,  1 639 000 ,,  2 009 000 ,  120 000 ,  2 129 000 ,  368 000 ,  1 863 000 ,,  2 231 000 ,  123 000 ,  2 354 000 ,,,,  -   ,,  -   ,,,,  -   ,,  -   , ,"- Invest in energy efficient lighting, heating, ventilation and air conditioning (HVAC) units and refrigerators, engage and educate employees around energy consumption, Invest in photovoltaic systems, source electricity from low-carbon generation sources, use alternative energy management programs, contract to purchase electricity generated from renewable origins in the UK and the Republic of Ireland and interact with utilities toward programmed demand-response curtailment of energy use",,"- https://www.walgreensbootsalliance.com/corporate-social-responsibility/resource-library
- https://www.walgreensbootsalliance.com/corporate-social-responsibility/csr-report-archive"
Walmart,Walmart,Consumer Staples,Retail,$524 000 000 000,$14 880 000 000,1972,Y,Y,Y,2040,,18% reduction from 2015 to 2025,N,Y,2025,  6 484 616 ,  11 078 980 ,,  17 563 596 ,  184 474 411 ,  202 038 007 ,  6 101 641 ,  12 022 083 ,,  18 123 724 ,  184 474 411 ,  202 598 135 ,  12 160 000 ,  6 520 000 ,,  18 680 000 ,,  18 680 000 ,  14 080 000 ,  6 650 000 ,,  20 730 000 ,,  20 730 000 ,  14 930 000 ,  6 110 000 ,,  21 040 000 ,,  21 040 000 ,"Membership and participation but seemingly little advocacy - Renewable Energy Buyers Alliance, Paris and Bonn Negotiations, We Are Still In","- Under Project GigatonTM, aim to work with suppliers to avoid 1 billion metric tons of greenhouse gases from the global value chain by 2030 (Scope 3) (1,000 suppliers had signed on by 2019) - engages suppliers in setting targets and pursuing initiatives to avoid emissions in any of six areas where there are opportunities to do so: energy use, sustainable agriculture, waste, deforestation, packaging and product use
- 50% renewable energy by 2025
- In FY2017, Walmart and the Walmart Foundation pledged $25 million in cash and in-kind donations to support disaster preparedness and relief through 2020
- Improving the performance of our refrigeration systems
- Maximizing the sustainability of our fleet","First retailer to announce a science-based target to reduce greenhouse gases in alignment with the Paris Agreement

Has not reported emissions for 2018 or 2019","- https://corporate.walmart.com/media-library/document/2019-environmental-social-governance-report/_proxyDocument?id=0000016c-20b5-d46a-afff-f5bdafd30000
- https://ilsr.org/wp-content/uploads/2012/04/topten-walmartsustainability.pdf"
